frame,fps,mean,std,meandiff,stddiff,spacial0,spacial1,spacial2,spacial3,spacial4,spacial5,spacial6,spacial7,spacial8,spacial9,central0,central1,central2,central3,central4,central5,central6,hu0,hu1,hu2,hu3,hu4,hu5,red0,red1,red2,red3,red4,red5,red6,red7,green0,green1,green2,green3,green4,green5,green6,green7,blue0,blue1,blue2,blue3,blue4,blue5,blue6,blue7,nsift,nsurf
54,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
55,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
56,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
57,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
58,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
59,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
60,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
61,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
62,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
63,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
64,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
65,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
66,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
67,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
68,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
69,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
70,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
72,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
73,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
74,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
75,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
